job_title,company_name,location,ctc,experience,posted
Dy.manager - Sales,Ion Exchange India Limited,"Hyderabad, Bangalore, Chennai","₹ 3,00,000 - 10,00,000",0-5 years,1 week ago
Telecaller,Globiva,Gurgaon,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Information Support Trainee,SISL Infotech Private Limited,Mumbai,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Sales Team Leader,GBH Auto Mechanics And Services LLP,Kolkata,"₹ 4,60,000 - 7,44,000",0-5 years,1 week ago
Curriculum Designer,Ampersand Group,Mumbai,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
Finance Trainee,McDonald's,Delhi,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Business Development Associate,BYJU'S The Learning App,Kolkata,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Inside Sales Associate,Leverage Edu,Noida,"₹ 6,60,000 - 7,00,000",0-5 years,1 week ago
HR Recruiter,AQM Technologies,Mumbai,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Academic Content Writer,Zucol Group Of Companies,Indore,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Development Executive,Plada Infotech Services Limited,"Noida, Gurgaon, Delhi","₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Omni Sport Leader,Decathlon Sports India Private Limited,Bangalore,"₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
Business Development Associate,Urban Company,Hyderabad,"₹ 2,00,000 - 3,00,000",0-2 years,2 weeks ago
Academic Counselor,Infinity Learn,Bangalore,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,"₹ 2,00,000 - 3,50,000",0-2 years,2 weeks ago
Business Development Associate,BYJU'S The Learning App,"Bangalore, Hyderabad, Kochi, Chennai, Coimbatore, Visakhapatnam, Kozhikode","₹ 2,10,000 - 8,50,000",0-5 years,2 weeks ago
Business Analyst,FirstCry.com,Dehradun,"₹ 3,50,000 - 4,00,000",0-2 years,2 weeks ago
Team Lead Finance,Apidel Technologies,Vadodara,"₹ 5,00,000 - 6,00,000",0-5 years,2 weeks ago
Junior Talent Acquisition Executive,Lodha Group,Mumbai,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
Business Development Associate,BYJU'S The Learning App,Noida,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
Sales Executive,NoBroker Technologies Solutions Private Limited,Bangalore,"₹ 2,10,000",0-2 years,2 weeks ago
Content Writer,Leverage Edu,Noida,"₹ 3,00,000 - 4,80,000",0-2 years,2 weeks ago
Business Development Counselor,Planet Spark,Gurgaon,"₹ 2,00,000 - 6,50,000",0-5 years,2 weeks ago
Business Development Associate,Planet Spark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,2 weeks ago
Omni Sport Leader,Decathlon,Pune,"₹ 2,40,000 - 2,80,000",0-2 years,2 weeks ago
Sap Executive,Gravita India Limited,Jaipur,"₹ 2,00,000 - 2,50,000",0-2 years,2 weeks ago
Customer Success Consultant,PeopleStrong,Gurgaon,"₹ 4,00,000 - 5,00,000",0-5 years,2 weeks ago
Telecaller,Nirvasa,"Gurgaon, Delhi","₹ 2,00,000 - 2,10,000",0-2 years,2 weeks ago
Talent Acquisition Executive,FirstCry,Dehradun,"₹ 2,50,000 - 3,00,000",0-2 years,2 weeks ago
Business Development Executive,Planet Spark,Gurgaon,"₹ 5,00,000 - 7,00,000",0-5 years,2 weeks ago
Business Development Executive,Lifecell International Private Limited,"Delhi, Kota, Ghaziabad, Noida, Jaipur, Baroda, Pune, Rajkot, Mumbai","₹ 3,00,000 - 4,00,000",0-2 years,2 weeks ago
Sales Team Leader,GBH Auto Mechanics & Services LLP,Work from home,"₹ 2,80,000 - 3,00,000",0-2 years,2 weeks ago
