job_title,company_name,location,ctc,experience,posted
Hotel Management Specialist,Platos,Bhubaneswar,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Financial Analyst,Money Stories Finserve,Bangalore,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Talent Acquisition Executive,TalentXO,Work from home,"₹ 3,50,000",0-2 years,1 week ago
Business Development Executive/Officer,Centre For Teacher Accreditation (CENTA),Bangalore,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Junior Copywriter,Stytch,"Noida, Delhi, Ghaziabad","₹ 2,75,000 - 3,00,000",0-2 years,1 week ago
Social Media Manager,Sports Paddock Private Limited,Bangalore,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Accounts Assistant,Vipin K Gupta & Company,Delhi,"₹ 2,00,000",0-2 years,1 week ago
B2B Sales Executive,WorkStore Limited,Gurgaon,"₹ 2,00,000 - 3,50,000",0-2 years,1 week ago
Content Writer,Cenmax Systems Private Limited,Work from home,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Full Stack Developer,Pushwinder Singh,Work from home,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
Business Development Associate,Bhash Software Labs Private Limited,Bangalore,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Customer Service Associate,Wear Your Opinion,Work from home,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Development Trainee,HireEasi,Delhi,"₹ 2,00,000",0-2 years,1 week ago
Digital Marketing Executive,The Design House,Noida,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Junior Embedded Engineer,Vertical Farming Technologies Private Limited,"Bangalore, Ahmedabad","₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Banquet Sales And Operations Manager,Ritumbhara Resort,Alwar,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Business Development Associate,Digitalbuddha Info Solutions LLP,Kannur,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
Telecaller,Mtrench,Work from home,"₹ 2,00,000 - 2,16,000",0-2 years,1 week ago
Operations Manager,Wargstech,Pune,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Associate,Vidhu Vinayak Private Limited,Patna,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Executive,Global Garner Sales Services Private Limited,Ahmedabad,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Experience Curator - Travel And Tourism (Sales),LivingStone Stays,Work from home,"₹ 2,00,000",0-2 years,1 week ago
Software Developer,Zero65 Technologies Private Limited,Bangalore,"₹ 3,50,000 - 9,00,000",0-5 years,1 week ago
HR Executive,Hectec Solutions,Pune,"₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Representative,Uplers Solution Private Limited,Work from home,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Customer Relationship Manager,Sound And Pixels,Bangalore,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
MIS Executive,Team Computers Private Limited,Delhi,"₹ 2,00,000 - 3,60,000",0-2 years,1 week ago
Sales Executive,Inrext Private Limited,Noida,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Administration Supervisor,Asha Sweet Center,Bangalore,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Sales Officer,Qween Network LLP,Ahmedabad,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Junior Social Media Marketing Associate,Artifex HR,Work from home,"₹ 2,00,000",0-2 years,1 week ago
Telecaller,Creativespot,"Ghaziabad, Noida, Delhi","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Junior Software Developer,Boostmychild,Pune,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Executive,Bestla Industries Private Limited,Pune,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Equity & Fixed Income Analyst,Bahar Infocons Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Junior Animator,TimesPro,Bangalore,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Business Development Executive,VSR ENTERPRISES,Bangalore,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Media Buyer,Mohammed Ashfaq,Mumbai,"₹ 7,50,000 - 8,00,000",0-5 years,1 week ago
Business Development Executive,BioFics Private Limited,"Surat, Ahmedabad","₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Associate Back-End Operations Executive,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Event Management Executive,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Junior Social Media Marketing Associate,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Content & E-commerce Management Executive,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Event Management Associate,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Associate Accountant,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Junior Front End Developer,Zedex Info Private Limited,Mumbai,"₹ 2,00,000",0-2 years,1 week ago
Product Marketing Executive,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Product Listing & Website Maintenance Editor,A1 Advance,Work from home,"₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Performance Marketing Manager,Kyros Solution Private Limited,Bangalore,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Full Stack Software Engineer,Flair Labs,Mumbai,"₹ 5,00,000 - 5,50,000",0-5 years,1 week ago
Graphic Designer,Prithvidhan Chopda Marketing Private Limited (PCM Private Limited),Chennai,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Corporate Sales Executive,Edit It Media,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Canva Designer & Social Media Handler,Butterfly Bow,Delhi,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Interior Designer,S-thetic Studio,Mumbai,"₹ 2,00,000 - 3,50,000",0-2 years,1 week ago
Junior Search Engine Optimization (SEO) Associate,Search Combat,Work from home,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Customer Support Executive,Arca Innovation,Navi Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Accountant,CattleGuru Private Limited,Jhajjar,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Process Trainee,Justohire,Bangalore,"₹ 2,16,000 - 2,64,000",0-2 years,1 week ago
Business Development Associate,Primespace,Bangalore,"₹ 4,00,000",0-2 years,1 week ago
Tele Sales Executive,Animall Technologies Private Limited,Gurgaon,"₹ 2,50,000 - 3,50,000",0-2 years,1 week ago
Field Sales Executive,Globuzzcation Metier Endeavour Private Limited,"Chandigarh, Jaipur, Delhi, Gurgaon, Ahmedabad, Chennai, Kolkata, Surat, Visakhapatnam, Indore, Bhopal, Greater Noida, Pune, Mumbai, Noida","₹ 2,52,000 - 3,00,000",0-2 years,1 week ago
Tour Consultant,TourTravelIt,"Vasundhra, Delhi, Ghaziabad, Shahdara","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Graphic Designer,BM INNOVATIONS PRIVATE LIMITED,Work from home,"₹ 3,00,000",0-2 years,1 week ago
Pre-sales Executive,Capitalist Yard,Bangalore,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Business Development Executive,UFaber Edutech Private Limited,Work from home,"₹ 3,52,000",0-2 years,1 week ago
Business Development Executive,EV ChargeMan,"Hyderabad, Visakhapatnam, Bangalore, Bhubaneswar","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
SAP Operating Executive,A1 Advance,Work from home,"₹ 6,00,000 - 8,00,000",0-5 years,1 week ago
Food And Beverages Executive,SECOND INNINGS,Vadodara,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Software Tester,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Front End Developer,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Back-end Developer,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Graphic Designer,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Python Developer,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Java Developer,A1 Advance,Work from home,"₹ 4,00,000 - 7,00,000",0-5 years,1 week ago
Business Development Executive,PacketPrep,"Guntur, Visakhapatnam, Hyderabad, Kakinada","₹ 4,00,000",0-2 years,1 week ago
Subject Matter Expert,Gurleen Jaura,Work from home,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Video Editor & Graphic Designer,Brilliance Academy,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Digital Marketing Executive,Moneytor,"Mumbai, Visakhapatnam, Pune","₹ 2,40,000 - 3,60,000",0-2 years,1 week ago
Information Technology Engineer,Centre For Women's Development And Research,Chennai,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Assistant Manager- Sales & Alliances,Hello Jarvis,Gurgaon,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Customer Sales Representative - Loan Sales,PaisaOnDemand,Jaipur,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Graphic Designer,JBM Global School,Noida,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago
Sales & Marketing Executive,WAYTOGO Consultants Private Limited,Pune,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
Sales Executive/Specialist – Music Production And Education,NuWave Sounds LLP,Work from home,"₹ 2,50,000 - 10,00,000",0-5 years,1 week ago
Social Media Manager,Brilliance Academy,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Digital Marketing Associate,Taaz ITSolutions,Jaipur,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
.NET Developer,PeaceInfotech Services Private Limited,"Mumbai, Thane","₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Digital Marketing Executive,HavStrategy,Delhi,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Digital Marketing Specialist,Fenebris India Private Limited,Noida,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Recruitment Associate,Confluencr,Bangalore,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Junior Banking Officer,WeMakeScholars,"Ahmedabad, Faridabad, Delhi, Kolkata, Ludhiana, Begumpet, Noida, Bangalore, Hyderabad, Lucknow, Meerut, Visakhapatnam, Secunderabad, Jaipur","₹ 3,50,000 - 3,90,000",0-2 years,1 week ago
Associate  - Program Management,Kraftshala,Delhi,"₹ 4,50,000",0-2 years,1 week ago
DevOps Engineer,Makerble,Work from home,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Back Office Executive,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,50,000 - 3,50,000",0-2 years,1 week ago
Data Entry Executive,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Data Entry Manager,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Back-Office Operator Executive,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Accounts Executive - Entry Level,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
International Chat Process Executive,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Customer Success Expert,Furrl,Bangalore,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Backend Developer,PlayTheory Labs,Work from home,"₹ 3,00,000 - 3,00,001",0-2 years,1 week ago
Growth Hacker,DeepThought Edutech Ventures Private Limited,Hyderabad,"₹ 3,00,000 - 5,00,000",0-5 years,"1 week ago


Be an early applicant"
Recruiter,Sunrise Enterprises,Work from home,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Customer Support Executive,Testbook,Navi Mumbai,"₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Angular.js Developer,Blackcoffer,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Influencer Marketing - Senior Associate,Confluencr,Bangalore,"₹ 3,00,000 - 6,00,000",0-5 years,"1 week ago


Be an early applicant"
Business Development Associate,Confluencr,Bangalore,"₹ 3,00,000 - 6,00,000",0-5 years,"1 week ago


Be an early applicant"
Data Entry Operator,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,50,000 - 4,50,000",0-2 years,1 week ago
Data Entry Executive,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Telecaller,WEBAPPS SOFTWARE SOLUTIONS,Work from home,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Logistics And Operations Executive,Rydeu Logistics UG,Work from home,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
Business Analyst,DeepThought Edutech Ventures Private Limited,Hyderabad,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Engineer Project Manager - Interior Fitout & Commercial Retail Showroom,Square And Cube,Delhi,"₹ 6,00,000 - 7,20,000",0-5 years,1 week ago
Social Media Manager,Tanden Spine Therapy Centre,Delhi,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Junior Account Manager,Way2Cloud,Pune,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Social Media Executive,Minds Journal Private Limited,Kolkata,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Accountant,Pacific Group Of Companies,Ahmedabad,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Swift Developer,App Successor,Noida,"₹ 3,00,000 - 3,60,000",0-2 years,1 week ago
Sales And Marketing Representative,Agri Industries Vikas Chamber,Delhi,"₹ 3,00,000",0-2 years,1 week ago
Community Manager,ELEOI SOLUTIONS,Hyderabad,"₹ 6,00,000 - 10,00,000",0-5 years,1 week ago
Procurement Operations Analyst,Seven Procure,Faridabad,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Corporate Sales Executive,Enlisting India Private Limited,Gurgaon,"₹ 3,00,000",0-2 years,1 week ago
Customer Support Associate,Niftel Communication Private Limited,Lucknow,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Business Operations Associate,Beknown,Work from home,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Field Sales Executive,Yellow Sense Technologies,Bangalore,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Associate Graphic Designer,The Machan Resorts,Mumbai,"₹ 2,00,000",0-2 years,1 week ago
Business Development Manager,Huvi DigiLife Private Limited,Mumbai,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Online Escalation Executive,Treebo Hotels,Work from home,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Junior Client Servicing Executive,White Background Studio,Mumbai,"₹ 2,04,000 - 2,40,000",0-2 years,1 week ago
Email Outreach Specialist,Kasplo,Bangalore,"₹ 2,00,000",0-2 years,1 week ago
Business Development Associate,Future Jobs,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Motion Graphics Video Editor,The Big Dumb Project,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Human Resources (HR) Executive,Bharti Media & Events,Noida,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Junior Social Media Marketing Executive,Amoda By Esha Bhatia,Mumbai,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Product Photographer,Sweet Lemon Studio,Delhi,"₹ 2,00,000 - 2,01,000",0-2 years,1 week ago
Telecaller,EvGracias,Hyderabad,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
Digital Marketing Specialist,Amoga,Bangalore,"₹ 5,00,000 - 8,00,000",0-5 years,1 week ago
HR Generalist Intern,DevMinds,Bangalore,"₹ 2,00,000 - 2,04,000",0-2 years,1 week ago
Travel Consultant,Global Corporate Tour,Noida,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Human Resources (HR) Executive,GreenPole Power Solutions India Private Limited,Bangalore,"₹ 2,40,000",0-2 years,1 week ago
Software Engineer Trainee,ATF Labs,Agra,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Corporate Sales Executive,VHM Consultants,Mumbai,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Associate Content Writer,United HR Solutions Private Limited,Ahmedabad,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
News Anchor/Reporter,The Nex News,"Karnataka, Bangalore","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Trainee RAMS Engineer,Intellex RAMS Assurance Consulting Private Limited,Mumbai,"₹ 3,84,000",0-2 years,1 week ago
Events Manager,Rattan Organic Foods Private Limited,"Jaipur, Gurgaon","₹ 4,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Representative (BDR),CreditZilla,Mumbai,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Operational Executive,SS Academy,Mumbai,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Associate Accountant,Sunita Gupta Jewellery,Mumbai,"₹ 2,00,000",0-2 years,1 week ago
Content Writer,Picktime,Hyderabad,"₹ 2,40,000 - 3,20,000",0-2 years,1 week ago
Field Sales Executive,Jugyah Real Estate Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000",0-5 years,1 week ago
HR Recruiter,Neosparks.co.in,Bangalore,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Merchandiser,Madmidaas Films,Mumbai,"₹ 2,00,000",0-2 years,1 week ago
Graphic Designer,Digitally Bugged LLP,Mumbai,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Graphic Designer,Bitsmart,Gurgaon,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Software Support Executive,Innoventry Software,Pune,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
IT Security Engineer Intern,Rchilli Incorporation,Work from home,"₹ 2,04,000 - 3,00,000",0-2 years,1 week ago
2D Animator,SSB Media,Work from home,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Reservations Associate - Telecaller,Zero Latency India,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Telecaller,AutoGlass Expert,Mira Bhayandar,"₹ 2,00,000 - 2,01,000",0-2 years,1 week ago
Admission Counselor,Mesotap Marketing Services Private Limited,Work from home,"₹ 2,50,000 - 3,00,000",0-2 years,1 week ago
Social Media Marketing Manager,Aayush Care Services Private Limited,Work from home,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Social Media Analyst,Everymedia Technologies Private Limited,Mumbai,"₹ 2,00,000 - 3,60,000",0-2 years,1 week ago
Junior Social Media Marketing Manager,Rannka Digital,Mumbai,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Customer Service Specialist,Colosseum Tech Solutions,Hyderabad,"₹ 2,00,000 - 2,16,000",0-2 years,1 week ago
IT Recruiter,HYRE,Gulbarga,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Data Engineer,Blackcoffer,Work from home,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Executive,UFaber Edutech,Work from home,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Tele Sales Executive,Purple Bridge Consultancy,Zirakpur,"₹ 2,00,000 - 4,80,000",0-2 years,1 week ago
Marketing & Sales Executive,Dzylo,Gurgaon,"₹ 2,00,000",0-2 years,1 week ago
Executive - Voice Process,Curis RCM LLP,Chennai,"₹ 2,00,000 - 3,50,000",0-2 years,1 week ago
Associate Trainee (Marketing),American Chase,Indore,"₹ 2,10,000 - 3,00,000",0-2 years,1 week ago
Sales Specialist,ShipBolt Industries,Delhi,"₹ 3,00,000 - 10,00,000",0-5 years,1 week ago
Human Resources (HR) Trainee,WebReinvent Technologies Private Limited,Delhi,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Copywriter,Cloudare Technologies Private Limited,Mumbai,"₹ 2,00,000 - 6,50,000",0-5 years,1 week ago
Operations Executive,Rydeu Logistics UG,Work from home,"₹ 2,00,000",0-2 years,1 week ago
Business Development Executive,SAG ECommerce Solutions,Work from home,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Junior Video Editor,Trivium Public Relations,Pune,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
HR Executive,Go Study Free,Work from home,"₹ 2,00,000",0-2 years,1 week ago
Sr. Finance Executive,Transformative Learning Solutions Private Limited,Gurgaon,"₹ 5,00,000 - 6,00,000",0-5 years,1 week ago
Telecaller,Haymarket SAC Publishing (India) Private Limited,Mumbai,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Collection Executive,Global Credit Solutions India Private Limited,Gurgaon,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Business Development Executive,Designerrs Academy,"Hyderabad, Chennai","₹ 2,00,000 - 3,50,000",0-2 years,1 week ago
Video Editor,Blue Frog Solutions Private Limited,Delhi,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Digital Marketing Associate,Azhar Ali,South East,"₹ 2,00,000 - 4,00,000",0-2 years,1 week ago
Management Trainee - Hospitality,Stay Vista Private Limited,"Mumbai, Pune","₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Senior Brand Manager,Looks Label,Work from home,"₹ 5,00,000 - 6,50,000",0-5 years,1 week ago
Graphic Designer,Saroj Agro Industries,Work from home,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Entrepreneur In Residence (Business Growth/Anything Required In Startup),TestFormula Education Private Limited,Delhi,"₹ 2,00,000",0-2 years,1 week ago
Street Talk Host,Storecode,Work from home,"₹ 2,00,000 - 7,00,000",0-5 years,1 week ago
Associate WordPress And React Developer,Marine Insight,Work from home,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Human Resources (HR) Manager,Light And Shadow,Delhi,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Administration Associate,Stalwart Careers,Indore,"₹ 2,16,000 - 3,00,000",0-2 years,1 week ago
Junior Talent Acquisition Executive,Promaynov Advisory Services Private Limited,"Gurgaon, Delhi, Noida","₹ 2,40,000",0-2 years,1 week ago
Business Development Executive,Aditya Birla Capital Limited (ABCL),Lucknow,"₹ 2,00,000 - 5,00,000",0-5 years,1 week ago
Customer Support (fresher),Bluboy Entertainments Private Limited,Hyderabad,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Sales & Marketing Executive,Career Point Consultancy,Gurgaon,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Education Sales Specialist,Eduflier,Work from home,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Lead Generation Specialist,Cosmofeed,Gurgaon,"₹ 3,00,000",0-2 years,1 week ago
Sales Executive,ModGen Solutions Private Limited,Navi Mumbai,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Software Operations Trainee,Faclon,"Mumbai, Thane","₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Content Writer,FreeKaaMaal.com,Noida,"₹ 2,16,000 - 2,40,000",0-2 years,1 week ago
Software Engineer Trainee,BluTech Talent Plus LLP,Bangalore,"₹ 2,50,000",0-2 years,1 week ago
Business Operations Manager,Sparsh Machinery & Equipments,"Jamshedpur, Bhubaneswar","₹ 3,00,000 - 3,50,000",0-2 years,1 week ago
Social Media Specialist (Fashion),Storecode,Work from home,"₹ 2,00,000 - 7,00,000",0-5 years,1 week ago
Sales Management Trainee,Natminds Services Private Limited,Gurgaon,"₹ 2,00,000 - 2,50,000",0-2 years,1 week ago
Junior Search Engine Optimization (SEO) Associate,Travelomatrix,Gurgaon,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Telesales Representative,Whooper Technologies,Gurgaon,"₹ 2,40,000 - 5,00,000",0-5 years,1 week ago
Product Marketing Executive,A1 Advance,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Backend Operating Executive,A1 Advance,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Business Development Manager,Aarogita Health & Wellness Private Limited,Gurgaon,"₹ 3,00,000 - 5,50,000",0-5 years,1 week ago
E-commerce Chat Process Executive,Elite Business Solution,Jaipur,"₹ 2,70,000 - 3,20,000",0-2 years,1 week ago
Business Development Executive,Conscript,Bangalore,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Content Writer,Exotic India Art,Delhi,"₹ 2,40,000 - 2,64,000",0-2 years,1 week ago
Field Sales Specialist,Pecksmart,Hyderabad,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Associate Accountant,Wellversed Health Private Limited,Gurgaon,"₹ 3,00,000 - 5,00,000",0-5 years,1 week ago
Business Development Manager,Transcendental Lifescience Pvt. Ltd,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Finance Executive,A1 Advance,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Administration Executive,A1 Advance,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
IT Project Co-ordinator,A1 Advance,Work from home,"₹ 4,00,000 - 6,00,000",0-5 years,1 week ago
Assistant Manager - Public Relations,Shikha Mishra,Delhi,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
Back-Office Operator Executive,Marwood Infotech,"Kochi, Bangalore, Warangal, Visakhapatnam, Tiruppur, Kannur, Salem, Guntur, Chennai, Coimbatore, Kalaburagi, Kozhikode, Vijawada, Hubali-Dharwad, Shivamogga","₹ 5,00,000 - 7,00,000",0-5 years,1 week ago
Junior Social Media Marketing Manager,Dr. Munish Raizada,Delhi,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Administration Executive,Hivyu Prive,Mumbai,"₹ 2,00,000",0-2 years,1 week ago
Digital Marketing Executive,Ragilly Technologies Private Limited,Kolkata,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Telecaller,BrandTouch & Analytics Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Website Manager,Morni Fashions,Jaipur,"₹ 3,00,000 - 4,00,000",0-2 years,1 week ago
Junior Social Media Marketing Associate,SquareFork,"Noida, Gurgaon, Delhi","₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Associate Recruiter,Filo EdTech Private Limited,Gurgaon,"₹ 3,50,000 - 4,00,000",0-2 years,1 week ago
Digital Marketing Specialist,Global Creative Services LLC,Work from home,"₹ 2,00,000",0-2 years,1 week ago
UI/UX Designer,Runne Viction Private Limited,Work from home,"₹ 2,10,000 - 2,40,000",0-2 years,1 week ago
Video Editor And Graphic Designer,Worktual Desk,Noida,"₹ 2,00,000",0-2 years,1 week ago
Marathi Content Writer,Trivoli Digital Private Limited,Bhiwandi,"₹ 2,40,000 - 3,00,000",0-2 years,1 week ago
Junior Search Engine Optimization (SEO) Executive,Shabd.in,Noida,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
Business Development Executive,Letstute,Mumbai,"₹ 2,00,000 - 2,20,000",0-2 years,1 week ago
Senior Social Media Marketing Manager,EMIAC Technologies LLC,Jaipur,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Travel Planner,GoHappy Club,Delhi,"₹ 2,00,000 - 2,40,000",0-2 years,1 week ago
Machine Operator,Stories Food And Beverage Company,Bangalore,"₹ 2,00,000 - 2,10,000",0-2 years,1 week ago
Junior Corporate Sales Executive,SurePass Technologies Private Limited,Delhi,"₹ 2,00,000 - 3,00,000",0-2 years,1 week ago
